date,Gas
6/1/2016,1340
5/1/2015,1350
5/1/2014,1352
3/1/2016,1352
3/1/2014,1359
9/1/2014,1362
12/1/2016,1373
2/1/2017,1380
3/1/2014,1382
5/1/2015,1395
11/1/2017,1396
6/1/2014,1410
1/1/2019,1420
11/1/2016,1430
5/1/2015,1441
2/1/2015,1444
8/1/2015,1445
8/1/2014,1452
11/1/2015,1455
10/1/2016,1458
10/1/2015,1468
7/1/2018,1469
6/1/2017,1470
3/1/2018,1470
7/1/2016,1483
8/1/2015,1485
1/1/2016,1487
8/1/2017,1488
8/1/2014,1489
11/1/2014,1489
8/1/2014,1493
4/1/2015,1493
1/1/2016,1500
5/1/2018,1501
3/1/2017,1502
10/1/2017,1505
10/1/2016,1512
1/1/2015,1515
12/1/2016,1524
7/1/2016,1524
12/1/2014,1526
8/1/2015,1529
6/1/2014,1530
5/1/2015,1531
9/1/2015,1537
9/1/2014,1539
8/1/2015,1542
2/1/2016,1544
1/1/2016,1545
5/1/2018,1548
1/1/2016,1548
8/1/2014,1549
9/1/2014,1565
8/1/2015,1569
5/1/2017,1571
12/1/2015,1576
12/1/2015,1584
12/1/2016,1586
5/1/2015,1590
7/1/2014,1596
12/1/2017,1598
7/1/2017,1601
6/1/2015,1609
12/1/2014,1615
6/1/2015,1619
2/1/2016,1620
4/1/2017,1624
5/1/2016,1630
1/1/2017,1632
11/1/2014,1632
3/1/2014,1639
3/1/2015,1639
12/1/2018,1643
10/1/2016,1645
5/1/2016,1646
5/1/2017,1648
2/1/2015,1651
3/1/2015,1652
11/1/2014,1653
2/1/2015,1656
10/1/2014,1657
11/1/2017,1666
6/1/2015,1669
11/1/2014,1671
11/1/2015,1672
5/1/2017,1672
7/1/2015,1683
4/1/2015,1691
10/1/2014,1693
2/1/2017,1695
11/1/2018,1697
9/1/2018,1708
10/1/2017,1714
3/1/2016,1717
4/1/2016,1718
1/1/2019,1721
7/1/2016,1723
5/1/2014,1725
1/1/2018,1730
4/1/2015,1732
1/1/2019,1736
4/1/2016,1736
10/1/2015,1738
6/1/2018,1740
4/1/2014,1741
6/1/2015,1741
7/1/2014,1742
9/1/2014,1745
4/1/2015,1745
7/1/2017,1755
3/1/2015,1755
8/1/2015,1756
7/1/2014,1757
9/1/2016,1765
5/1/2015,1765
1/1/2016,1769
7/1/2015,1771
12/1/2018,1773
11/1/2014,1774
12/1/2014,1777
4/1/2015,1780
11/1/2018,1786
11/1/2017,1790
5/1/2017,1794
9/1/2014,1804
6/1/2017,1809
9/1/2016,1813
12/1/2014,1814
6/1/2017,1815
11/1/2016,1816
5/1/2018,1818
4/1/2018,1819
3/1/2015,1820
8/1/2014,1826
5/1/2018,1827
5/1/2015,1829
2/1/2015,1830
8/1/2015,1830
2/1/2015,1831
11/1/2014,1833
6/1/2015,1834
10/1/2014,1834
5/1/2015,1838
11/1/2016,1839
6/1/2016,1841
11/1/2018,1842
3/1/2017,1844
2/1/2018,1845
11/1/2017,1845
3/1/2014,1848
12/1/2014,1849
3/1/2017,1851
10/1/2015,1853
3/1/2017,1857
7/1/2015,1858
8/1/2016,1859
7/1/2014,1860
8/1/2015,1864
10/1/2018,1874
4/1/2018,1875
2/1/2018,1876
12/1/2018,1879
9/1/2015,1879
11/1/2014,1879
5/1/2017,1880
8/1/2017,1884
10/1/2015,1885
4/1/2014,1892
7/1/2015,1893
3/1/2018,1897
6/1/2015,1908
5/1/2014,1914
1/1/2015,1918
10/1/2014,1919
2/1/2017,1925
6/1/2018,1926
6/1/2014,1926
1/1/2016,1928
12/1/2014,1931
6/1/2015,1932
4/1/2018,1935
10/1/2018,1936
9/1/2014,1939
11/1/2015,1940
8/1/2016,1941
2/1/2015,1942
8/1/2018,1945
4/1/2015,1953
8/1/2017,1957
1/1/2015,1958
4/1/2014,1961
8/1/2015,1969
9/1/2018,1970
9/1/2014,1973
6/1/2016,1973
1/1/2017,1974
5/1/2016,1975
10/1/2015,1976
7/1/2018,1976
5/1/2014,1977
7/1/2017,1985
2/1/2017,1985
10/1/2016,1985
8/1/2018,1991
3/1/2017,1994
8/1/2017,1995
5/1/2018,1999
9/1/2018,2001
8/1/2014,2005
6/1/2018,2006
7/1/2016,2015
1/1/2018,2018
6/1/2014,2018
11/1/2018,2020
6/1/2016,2020
6/1/2014,2026
9/1/2015,2034
10/1/2018,2037
6/1/2016,2037
12/1/2014,2052
6/1/2014,2055
1/1/2019,2059
7/1/2015,2065
6/1/2015,2065
6/1/2014,2066
8/1/2017,2066
12/1/2016,2073
11/1/2015,2073
9/1/2014,2074
1/1/2015,2076
9/1/2015,2079
8/1/2014,2080
7/1/2015,2081
6/1/2017,2082
9/1/2018,2083
5/1/2017,2085
4/1/2016,2086
12/1/2017,2088
12/1/2014,2092
12/1/2014,2094
4/1/2014,2096
7/1/2018,2100
8/1/2017,2101
4/1/2017,2101
9/1/2015,2102
8/1/2015,2104
7/1/2015,2109
5/1/2015,2111
3/1/2015,2116
6/1/2016,2117
8/1/2014,2120
1/1/2019,2125
10/1/2016,2128
8/1/2014,2128
2/1/2014,2131
4/1/2015,2133
4/1/2015,2135
9/1/2018,2139
6/1/2018,2143
4/1/2017,2146
5/1/2016,2149
5/1/2016,2150
11/1/2018,2155
3/1/2016,2155
3/1/2016,2157
11/1/2015,2159
12/1/2014,2164
3/1/2018,2168
7/1/2016,2170
5/1/2014,2171
1/1/2016,2174
1/1/2015,2183
2/1/2016,2187
9/1/2017,2191
6/1/2016,2201
10/1/2014,2202
1/1/2017,2205
3/1/2018,2207
1/1/2016,2212
8/1/2016,2220
10/1/2014,2225
10/1/2014,2226
5/1/2015,2231
1/1/2015,2231
9/1/2014,2234
12/1/2018,2235
4/1/2017,2235
8/1/2016,2235
8/1/2018,2238
12/1/2017,2243
7/1/2017,2244
10/1/2015,2246
6/1/2018,2247
9/1/2018,2252
7/1/2015,2253
9/1/2016,2255
6/1/2016,2257
10/1/2014,2260
12/1/2014,2262
12/1/2014,2266
8/1/2014,2270
10/1/2016,2274
10/1/2015,2283
9/1/2017,2286
6/1/2018,2290
9/1/2017,2303
11/1/2014,2305
9/1/2015,2306
2/1/2016,2310
11/1/2015,2312
10/1/2014,2314
9/1/2016,2314
9/1/2014,2319
6/1/2014,2333
6/1/2016,2334
7/1/2016,2334
11/1/2014,2335
11/1/2016,2336
9/1/2017,2337
4/1/2014,2343
1/1/2015,2343
2/1/2016,2344
2/1/2015,2344
8/1/2014,2349
6/1/2014,2352
8/1/2015,2354
12/1/2016,2357
3/1/2015,2358
8/1/2014,2360
7/1/2014,2366
4/1/2015,2367
3/1/2015,2373
11/1/2014,2377
5/1/2018,2379
10/1/2015,2380
3/1/2014,2380
8/1/2014,2382
4/1/2015,2385
2/1/2017,2391
8/1/2014,2400
1/1/2016,2401
10/1/2017,2404
6/1/2015,2405
2/1/2015,2410
12/1/2013,2413
5/1/2016,2418
10/1/2014,2419
10/1/2014,2423
10/1/2015,2428
12/1/2014,2431
2/1/2018,2432
7/1/2015,2436
10/1/2014,2449
3/1/2017,2449
6/1/2016,2455
1/1/2019,2459
1/1/2015,2459
10/1/2018,2464
9/1/2014,2468
11/1/2014,2470
2/1/2015,2470
9/1/2014,2472
7/1/2017,2478
4/1/2015,2482
1/1/2015,2485
10/1/2018,2485
11/1/2014,2487
7/1/2015,2498
2/1/2015,2502
9/1/2014,2502
3/1/2015,2505
9/1/2017,2507
2/1/2015,2507
1/1/2017,2508
4/1/2015,2509
2/1/2016,2510
7/1/2017,2511
11/1/2016,2512
3/1/2016,2513
2/1/2015,2513
1/1/2018,2514
11/1/2014,2514
3/1/2014,2514
2/1/2015,2516
8/1/2017,2516
2/1/2018,2517
5/1/2017,2518
5/1/2014,2524
1/1/2015,2525
4/1/2018,2529
6/1/2015,2533
10/1/2018,2533
5/1/2015,2534
4/1/2014,2534
6/1/2015,2540
5/1/2015,2540
2/1/2018,2541
10/1/2018,2543
3/1/2015,2544
8/1/2015,2544
4/1/2016,2545
2/1/2016,2545
11/1/2015,2545
12/1/2015,2546
7/1/2014,2546
9/1/2016,2548
4/1/2015,2548
9/1/2014,2548
2/1/2015,2548
10/1/2014,2552
2/1/2015,2553
10/1/2014,2561
5/1/2014,2566
8/1/2018,2574
11/1/2014,2577
2/1/2015,2579
9/1/2018,2579
4/1/2015,2581
6/1/2015,2586
1/1/2018,2586
